date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
1/1/2015,0:58:17,3029828,3.1.2,x86_64,linux-gnu,Rcpp,0.11.3,CN,35
1/1/2015,0:58:27,161139,3.1.2,x86_64,linux-gnu,Formula,1.1-2,US,34
1/1/2015,0:58:30,69763,3.1.2,x86_64,linux-gnu,acepack,1.3-3.3,US,34
1/1/2015,0:57:59,180595,3.1.2,x86_64,linux-gnu,yaml,2.1.13,US,36
1/1/2015,0:58:55,401091,3.1.2,x86_64,darwin13.4.0,xlsx,0.5.7,US,37
1/1/2015,0:57:54,163631,NA,NA,NA,pollstR,1.1.1,CN,9
1/1/2015,0:57:55,514,NA,NA,NA,polspline,1.1.9,CN,9
1/1/2015,0:57:55,514,NA,NA,NA,polyCub,0.5-1,CN,9
1/1/2015,0:58:02,244800,NA,NA,NA,polyCub,0.5-1,CN,9
1/1/2015,0:58:04,514,NA,NA,NA,polySegratioMM,0.6-3,CN,9
1/1/2015,0:58:19,712219,NA,NA,NA,polySegratioMM,0.6-3,CN,9
1/1/2015,0:58:20,514,NA,NA,NA,polySegratio,0.2-4,CN,9
1/1/2015,0:58:21,512,NA,NA,NA,polyaAeppli,2,CN,9
1/1/2015,0:58:22,514,NA,NA,NA,polyapost,1.1-6,CN,9
1/1/2015,0:58:28,246085,NA,NA,NA,polyapost,1.1-6,CN,9
1/1/2015,0:58:30,514,NA,NA,NA,polyclip,1.3-0,CN,9
1/1/2015,0:58:30,512,NA,NA,NA,polycor,0.7-8,CN,9
1/1/2015,0:58:31,33938,NA,NA,NA,polycor,0.7-8,CN,9
1/1/2015,0:58:32,512,NA,NA,NA,polynom,1.3-8,CN,9
1/1/2015,0:58:32,514,NA,NA,NA,polysat,1.3-3,CN,9
1/1/2015,0:58:46,726241,NA,NA,NA,polysat,1.3-3,CN,9
1/1/2015,0:58:47,514,NA,NA,NA,polytomous,0.1.6,CN,9
1/1/2015,0:58:54,551304,NA,NA,NA,polytomous,0.1.6,CN,9
1/1/2015,0:58:56,514,NA,NA,NA,polywog,0.4-0,CN,9
1/1/2015,0:58:23,18988,NA,NA,NA,ifs,0.0-6,FR,16
1/1/2015,0:58:29,38527,NA,NA,NA,TSdbi,2008.8-1,FR,38
1/1/2015,0:58:53,95172,NA,NA,NA,mbest,0.1,FR,39
